Real Time(s),CPU Time(s),YoungGen (allocated space)(KB),YoungGen (Before GC)(KB),YoungGen (After GC)(KB),Old Gen(allocated space)(KB),Old Gen (Before GC)(KB),Old Gen(After GC)(KB),GC Pause Time(ms),User(s),Sys(s),"GC/FULL-GC(1->GC,0->FULL-GC)"
0.00,0.0,1024,512,480,512,0,8,1.243,0.0,0.0,1
0.00,0.0,1024,991,496,512,8,88,0.909,0.0,0.0,1
0.00,0.0,1024,1008,512,512,88,248,0.971,0.0,0.0,1
0.00,0.0,1536,1023,512,512,248,496,0.922,0.0,0.0,1
0.00,0.0,1536,512,505,2048,496,461,3.263,0.0,0.0,0
0.00,0.0,1536,1529,480,2048,461,1021,1.133,0.0,0.0,1
0.00,0.0,3584,1504,1024,2048,1021,1021,1.257,0.0,0.0,1
0.00,0.0,3584,3072,1504,2048,1021,1573,2.001,0.0,0.0,1
0.00,0.0,3584,1504,1501,4096,1573,1539,4.847,0.0,0.0,0
0.00,0.0,5120,3549,2016,4096,1539,2091,2.550,0.0,0.0,1
0.00,0.0,5632,5088,2528,4096,2091,3187,2.750,0.0,0.0,1
0.01,0.0,5632,2528,2012,7168,3187,3650,6.746,0.0,0.0,0
0.00,0.0,8192,5084,2688,7168,3650,4626,3.784,0.0,0.0,1
0.01,0.0,8192,7296,2432,7680,4626,7298,4.354,0.0,0.0,1
0.01,0.0,8192,2432,2374,12288,7298,7233,8.950,0.0,0.0,0
0.01,0.0,10752,6982,2656,12288,7233,9649,4.780,0.0,0.0,1
0.00,0.0,10752,9312,3456,12800,9649,12313,4.692,0.0,0.0,1
0.02,0.0,10752,3456,2888,19968,12313,12484,15.616,0.0,0.0,0
0.01,0.0,13312,9544,3456,19968,12484,15428,6.054,0.0,0.0,1
0.01,0.02,13824,12160,5024,19968,15428,18924,7.335,0.02,0.0,1
0.02,0.0,13824,5024,3360,29184,18924,19925,20.748,0.0,0.0,0
0.01,0.0,16896,12064,4544,29184,19925,23349,7.716,0.0,0.0,1
0.01,0.0,17408,15808,5856,29184,23349,27925,8.071,0.0,0.0,1
