YoungGen (allocated space)(KB),YoungGen (Before GC)(KB),YoungGen (After GC)(KB),Old Gen(allocated space)(KB),Old Gen (Before GC)(KB),Old Gen(After GC)(KB),GC Pause Time(ms),User(s),Sys(s),Real Time(s),CPU Time(s),"GC/FULL-GC(1->GC,0->FULL-GC)"
1024,512,480,512,0,8,1.440,0.0,0.0,0.00,0.0,1
1536,991,512,512,8,88,0.887,0.0,0.0,0.00,0.0,1
1536,1536,512,512,88,504,1.213,0.0,0.0,0.00,0.0,1
1536,512,506,2048,504,474,3.302,0.0,0.0,0.00,0.0,0
2560,1530,480,2048,474,1034,1.594,0.0,0.0,0.00,0.0,1
2560,2528,480,2560,1034,2106,1.751,0.0,0.0,0.00,0.0,1
4096,480,0,6144,2106,2542,4.889,0.0,0.0,0.01,0.0,0
5120,3072,1696,6144,2542,2542,2.603,0.0,0.0,0.00,0.0,1
5632,4768,2016,6144,2542,3774,3.620,0.03,0.0,0.00,0.03,1
6656,5600,3040,6144,3774,4606,3.817,0.0,0.0,0.00,0.0,1
8704,6624,4064,6144,4606,5454,4.309,0.0,0.0,0.00,0.0,1
8704,4064,3545,10752,5454,5831,12.851,0.0,0.0,0.01,0.0,0
9728,8013,5088,10752,5831,6615,4.864,0.0,0.0,0.00,0.0,1
11264,9696,6112,10752,6615,7983,6.101,0.0,0.0,0.01,0.0,1
12800,11232,5216,11776,7983,11575,6.148,0.0,0.0,0.01,0.0,1
12800,5216,5188,18432,11575,11462,17.194,0.0,0.0,0.02,0.0,0
14336,10308,2656,18432,11462,16726,6.262,0.0,0.0,0.01,0.0,1
14848,2656,1105,27648,16726,18183,15.800,0.0,0.0,0.01,0.0,0
15360,7799,3424,27648,18183,19311,4.696,0.0,0.0,0.00,0.0,1
16896,11103,7648,27648,19311,19535,7.124,0.0,0.0,0.01,0.0,1
17920,16864,4800,27648,19535,27279,8.265,0.0,0.0,0.01,0.0,1
17920,4800,4249,39424,27279,27140,25.804,0.0,0.0,0.03,0.0,0
19456,13465,7648,39424,27140,31460,10.203,0.0,0.0,0.01,0.0,1
20480,18400,9696,40448,31460,40276,13.023,0.0,0.0,0.01,0.0,1
20480,9696,9681,54784,40276,39029,33.935,0.03,0.0,0.03,0.03,0
26624,20433,10784,54784,39029,48845,15.508,0.0,0.0,0.01,0.0,1
26624,10784,5098,73728,48845,54331,38.632,0.0,0.0,0.04,0.0,0
27648,17386,12320,73728,54331,59515,16.442,0.03,0.0,0.02,0.03,1
26112,24608,16896,73728,59515,67283,19.586,0.02,0.02,0.02,0.04,1
26112,16896,10219,95744,67283,73722,55.217,0.09,0.0,0.06,0.09,0
31744,19435,9248,95744,73722,84106,16.767,0.03,0.0,0.02,0.03,1
32768,9248,0,116224,84106,91093,58.248,0.09,0.0,0.06,0.09,0
32768,11264,11296,116224,91093,91093,6.450,0.0,0.0,0.01,0.0,1
