XMX,Throughput(%),Latency(Max GC pause time)(s),Application runtime,FULL GC,GC,RandomForest,KNeighbors,DecisionTree,MLP,Ensemble
2,62.1005076142132,0.005242,0.394,45,4,100.0,96.55172413793103,96.55172413793103,100.0,96.55172413793103
100,12.967286101432393,0.053287,2.583,51,20,93.10344827586206,78.57142857142857,92.85714285714286,66.66666666666666,76.19047619047619
200,9.35640967153286,0.067381,4.384,74,22,87.17948717948718,75.43859649122807,96.49122807017544,71.9298245614035,82.45614035087719
300,6.496027633851469,0.113527,8.685,108,27,94.44444444444444,83.9506172839506,93.82716049382715,79.01234567901234,92.5925925925926
400,6.3706597589342095,0.135422,9.458,101,51,95.08196721311475,79.12087912087912,96.7032967032967,73.62637362637363,96.7032967032967
500,24.947036328871903,0.172881,2.615,21,43,92.3076923076923,52.63157894736842,86.8421052631579,52.63157894736842,84.21052631578947
600,8.347161798218366,0.207496,9.654,71,41,93.33333333333333,70.1492537313433,95.52238805970148,61.19402985074627,92.53731343283582
700,8.53780427712627,0.241507,10.147,69,53,91.83673469387756,78.08219178082192,90.41095890410958,71.23287671232876,90.41095890410958
800,10.4069006737666,0.269161,9.202,52,56,93.18181818181817,57.8125,95.3125,45.3125,93.75
900,6.464409898477172,0.3046549999999999,15.76,85,48,85.18518518518519,78.48101265822784,87.34177215189874,67.08860759493672,84.81012658227847
1000,5.22217183062773,0.355214,23.593,106,68,94.28571428571428,76.92307692307693,95.1923076923077,70.1923076923077,93.26923076923077
1100,7.000638251839035,0.384476,18.488,81,75,92.06349206349206,73.11827956989248,93.54838709677419,74.19354838709677,92.47311827956989
1200,5.227805907173007,0.4032679999999999,26.07,107,86,96.15384615384616,76.52173913043478,95.65217391304348,76.52173913043478,93.91304347826087
1300,6.237634552086135,0.446072,22.482,85,93,94.44444444444444,75.47169811320755,95.28301886792453,49.056603773584904,95.28301886792453
1400,5.3606399077610405,0.475691,27.754,98,93,96.1038961038961,79.82456140350878,95.6140350877193,53.50877192982456,95.6140350877193
1500,5.701300096701459,0.523162,27.921,92,76,92.64705882352942,67.0,93.0,78.0,93.0
1600,7.973403956126376,0.5420119999999999,21.334,69,88,93.65079365079364,69.14893617021278,94.68085106382979,45.744680851063826,94.68085106382979
1700,14.368108021218449,0.57912,12.442,40,85,90.0,60.0,88.0,29.333333333333332,88.0
1800,3.4364774317059954,0.617591,54.324,148,117,95.28301886792453,81.76100628930818,92.45283018867924,83.64779874213836,93.08176100628931
1900,9.150555663872098,0.642597,20.516,57,99,92.06349206349206,67.74193548387096,95.6989247311828,32.25806451612903,90.32258064516128
2000,6.016306018682755,0.685111,33.828,87,101,94.73684210526315,73.21428571428571,93.75,45.535714285714285,91.07142857142857
2100,4.36892449180688,0.723953,54.802,127,115,94.84536082474226,76.55172413793103,91.0344827586207,51.724137931034484,91.72413793103448
2200,11.523905868847775,0.7398579999999999,20.907,53,130,90.54054054054053,69.72477064220183,88.9908256880734,30.275229357798167,92.66055045871559
2300,5.062809382695406,0.78901,47.918,107,114,93.25842696629213,71.96969696969697,93.93939393939394,48.484848484848484,93.18181818181817
2400,4.889981740023586,0.815249,52.574,110,120,96.73913043478261,74.63768115942028,92.7536231884058,48.55072463768116,92.7536231884058
2500,14.31388014360671,0.8457910000000001,18.105,43,115,90.625,62.76595744680851,90.42553191489363,30.851063829787233,90.42553191489363
2600,3.623060977251328,0.915105,74.29,140,119,95.1923076923077,77.41935483870968,90.32258064516128,56.12903225806451,91.61290322580645
2700,8.291219569494572,0.967003,34.053,65,137,98.76543209876543,71.07438016528926,95.86776859504133,28.92561983471074,96.69421487603306
2800,6.222295500010972,0.971995,45.489,87,146,96.80851063829788,71.94244604316546,91.36690647482014,38.84892086330935,92.80575539568345
2900,11.893758804194718,1.029328,25.556,51,162,93.02325581395348,67.71653543307087,94.48818897637796,22.04724409448819,94.48818897637796
3000,5.722212087101667,1.067348,51.526,92,145,96.84210526315789,75.35211267605634,96.47887323943662,40.845070422535215,97.1830985915493
3100,6.347988946883646,1.071049,48.855,85,148,94.68085106382979,74.82014388489209,96.40287769784173,37.410071942446045,94.96402877697841
3200,4.115622143882987,1.0947829999999998,76.59,124,144,94.44444444444444,77.5,92.5,46.875,91.875
3300,7.850251207961705,1.113632,41.599,70,123,96.15384615384616,69.56521739130434,93.91304347826087,34.78260869565217,92.17391304347827
3400,3.9071318164253626,1.166597,87.986,131,168,94.16666666666667,78.2122905027933,93.85474860335195,40.78212290502793,94.41340782122904
3500,5.388900661844843,1.236635,65.121,99,149,94.0,75.67567567567568,91.8918918918919,43.91891891891892,91.8918918918919
3600,5.849693169467415,1.253157,59.805,90,157,95.95959595959596,74.32432432432432,92.56756756756756,39.189189189189186,91.8918918918919
3700,5.572216455715832,1.274503,64.549,94,142,92.63157894736842,75.88652482269504,90.78014184397163,40.42553191489361,92.90780141843972
3800,4.908540252827677,1.278674,75.15,107,163,97.22222222222221,79.01234567901234,93.20987654320987,39.50617283950617,94.44444444444444
3900,6.587360794792232,1.31609,55.763,84,194,96.42857142857143,81.92771084337349,93.37349397590361,32.53012048192771,94.57831325301204
4000,11.609986603336978,1.347946,32.844,53,195,96.0,72.97297297297297,93.24324324324324,23.64864864864865,92.56756756756756
4100,19.371630509472865,1.361611,20.374,39,178,93.10344827586206,71.53846153846153,94.61538461538461,16.923076923076923,94.61538461538461
4200,18.81788255797065,1.363538,20.657,38,170,98.80952380952381,66.93548387096774,95.16129032258065,16.129032258064516,95.16129032258065
4300,6.590017937088916,1.458951,68.573,87,182,96.29629629629629,79.5031055900621,93.16770186335404,32.298136645962735,89.44099378881988
4400,3.413558839184603,1.486123,133.389,150,155,95.90163934426229,74.31693989071039,92.34972677595628,48.08743169398907,92.34972677595628
4500,3.3844024522177705,1.564309,138.65,149,155,97.54098360655738,82.41758241758241,93.4065934065934,48.35164835164835,92.85714285714286
4600,3.909102774823552,1.708619,124.116,126,180,95.1219512195122,78.68852459016394,93.98907103825137,40.98360655737705,87.43169398907104
4700,6.877718578866436,1.788221,74.138,81,167,92.0,68.24324324324324,88.51351351351352,30.405405405405407,81.08108108108108
4800,3.931167904165591,1.6436769999999998,128.889,136,180,96.06299212598425,73.01587301587301,93.65079365079364,38.095238095238095,93.12169312169311
4900,4.850811331770274,1.695627,107.909,113,167,96.42857142857143,76.78571428571429,94.04761904761905,39.88095238095239,94.04761904761905
5000,11.735691630975822,1.706732,43.195,55,162,98.85057471264368,68.46153846153847,95.38461538461539,26.153846153846157,93.84615384615384
5100,3.287697129246567,1.815497,159.54,153,190,95.65217391304348,81.46341463414633,93.65853658536587,45.85365853658537,93.17073170731707
5200,5.214605895185812,1.806959,102.219,102,139,96.90721649484536,68.05555555555556,95.13888888888889,42.36111111111111,89.58333333333334
5300,6.942764705134621,1.833491,78.663,85,207,98.29059829059828,73.14285714285714,93.14285714285714,28.57142857142857,93.14285714285714
5400,9.261495376225769,1.850056,60.881,67,200,95.32710280373831,73.125,92.5,25.0,93.125
