YoungGen (allocated space)(KB),YoungGen (Before GC)(KB),YoungGen (After GC)(KB),Old Gen(allocated space)(KB),Old Gen (Before GC)(KB),Old Gen(After GC)(KB),GC Pause Time(ms),User(s),Sys(s),Real Time(s),CPU Time(s),"GC/FULL-GC(1->GC,0->FULL-GC)"
3584,1504,1024,2048,1020,1020,1.144,0.0,0.0,0.0,0.0,1
644608,237775,237775,12083200,12083016,12083016,4049.065,27.58,0.0,4.05,27.58,0
470528,437760,160192,9492480,8862467,9142435,260.698,1.78,0.12,0.26,1.9,1
139776,18592,0,1862144,1689687,1705765,556.721,3.77,0.02,0.56,3.79,0
161792,20608,10400,1708032,1584839,1595223,22.334,0.02,0.02,0.02,0.04,1
5632,5088,2528,4096,2082,3170,3.279,0.0,0.0,0.0,0.0,1
194560,100576,50336,3658240,3557886,3608518,63.719,0.27,0.02,0.06,0.29,1
88064,51840,39302,848384,754413,765692,274.74,1.95,0.0,0.28,1.95,0
47616,45184,30880,493568,469181,483733,24.827,0.11,0.0,0.03,0.11,1
644608,237775,237775,12083200,12083088,12083088,3689.157,26.78,0.02,3.69,26.8,0
305152,266240,152960,5750784,5214704,5329000,157.964,1.02,0.09,0.16,1.11,1
134144,60608,46555,2039296,1850045,1861718,616.828,4.42,0.02,0.62,4.44,0
644608,237775,237775,12083200,12083108,12083108,3655.521,26.86,0.0,3.66,26.86,0
209408,110304,37024,4408320,4193648,4267488,67.904,0.27,0.03,0.07,0.3,1
217600,185696,139648,4822016,4383827,4430315,90.139,0.62,0.0,0.09,0.62,1
644608,237775,237775,12083200,12083117,12083117,3676.801,26.84,0.0,3.68,26.84,0
644608,237775,237775,12083200,12083199,12083195,5889.008,41.02,0.08,5.89,41.1,0
76288,38592,38624,621056,562293,562293,19.705,0.12,0.0,0.02,0.12,1
199168,116928,117024,4017152,3655788,3655788,66.977,0.31,0.0,0.07,0.31,1
129024,73888,50336,1862144,1748341,1772213,39.223,0.25,0.0,0.04,0.25,1
180736,133888,96480,2738688,2608787,2646499,72.783,0.5,0.02,0.07,0.52,1
155648,31658,18720,1708032,1543391,1556639,78.664,0.48,0.0,0.08,0.48,1
1024,1024,512,512,88,240,0.903,0.0,0.0,0.0,0.0,1
77312,63104,40064,621056,577949,601277,31.087,0.14,0.0,0.03,0.14,1
60416,29391,23136,383488,347919,354407,26.994,0.12,0.0,0.03,0.12,1
110080,105632,71936,4017152,3835044,3869124,64.313,0.25,0.02,0.06,0.27,1
93184,86528,48288,1148928,1055232,1094072,46.038,0.27,0.0,0.05,0.27,1
79872,54432,36992,691200,640674,658338,28.324,0.11,0.03,0.03,0.14,1
155648,132576,106656,1543680,1417620,1443756,62.708,0.39,0.0,0.06,0.39,1
636928,566784,285376,11799040,10978854,11262638,346.822,1.94,0.14,0.35,2.08,1
395264,280480,249344,9492480,8551315,8582843,160.989,0.91,0.0,0.16,0.91,1
79872,56448,39351,765952,691106,691013,285.591,2.0,0.0,0.29,2.0,0
508416,380416,354816,11799040,10552854,10578902,220.815,1.5,0.02,0.22,1.52,1
59904,26496,13519,383488,319312,331535,104.069,0.66,0.02,0.1,0.68,0
17408,5056,4517,40448,28089,27937,25.778,0.0,0.0,0.03,0.0,0
