YoungGen (allocated space)(KB),YoungGen (Before GC)(KB),YoungGen (After GC)(KB),Old Gen(allocated space)(KB),Old Gen (Before GC)(KB),Old Gen(After GC)(KB),GC Pause Time(ms),User(s),Sys(s),Real Time(s),CPU Time(s),"GC/FULL-GC(1->GC,0->FULL-GC)"
1024,512,480,512,0,8,1.756,0.0,0.0,0.00,0.0,1
1536,991,512,512,8,88,0.838,0.0,0.0,0.00,0.0,1
1536,1536,512,512,88,504,1.644,0.0,0.0,0.00,0.0,1
1536,512,509,2048,504,472,4.073,0.0,0.0,0.00,0.0,0
2560,1533,480,2048,472,1032,1.642,0.0,0.0,0.00,0.0,1
2560,2528,480,2560,1032,2112,1.939,0.0,0.0,0.00,0.0,1
4096,480,0,6144,2112,2542,4.716,0.0,0.0,0.00,0.0,0
5120,3072,1696,6144,2542,2542,1.590,0.0,0.0,0.00,0.0,1
5632,4768,2016,6144,2542,3774,2.726,0.0,0.0,0.00,0.0,1
6656,5600,3040,6144,3774,4606,3.763,0.02,0.0,0.00,0.02,1
9216,6624,4064,6144,4606,5446,3.718,0.0,0.0,0.00,0.0,1
9216,4064,3545,10752,5446,5831,11.466,0.0,0.0,0.01,0.0,0
10240,8665,5088,10752,5831,6951,4.144,0.0,0.0,0.00,0.0,1
12800,10208,6496,10752,6951,8231,5.544,0.0,0.0,0.01,0.0,1
13824,12640,5792,12288,8231,12111,6.023,0.02,0.0,0.01,0.02,1
13824,5792,5758,18944,12111,12006,16.278,0.0,0.0,0.02,0.0,0
15872,11902,3200,18944,12006,17870,6.825,0.0,0.0,0.01,0.0,1
16384,3200,2146,28672,17870,18786,15.703,0.0,0.0,0.01,0.0,0
16896,11362,5312,28672,18786,20978,6.735,0.0,0.0,0.01,0.0,1
20480,14528,4832,28672,20978,26306,7.442,0.0,0.0,0.01,0.0,1
20480,4832,2206,39936,26306,28233,24.312,0.03,0.0,0.02,0.03,0
20480,14494,8192,39936,28233,33817,12.430,0.0,0.0,0.01,0.0,1
20480,8192,2044,54272,33817,39854,30.534,0.03,0.0,0.03,0.03,0
24064,14332,11744,54272,39854,42486,13.005,0.02,0.0,0.01,0.02,1
26624,24032,12320,54784,42486,54374,15.704,0.0,0.0,0.02,0.0,1
26624,12320,10723,73728,54374,54670,46.993,0.03,0.0,0.05,0.03,0
30208,23011,12320,73728,54670,65574,19.499,0.02,0.02,0.02,0.04,1
30208,12320,4082,96256,65574,73569,49.602,0.06,0.0,0.05,0.06,0
31232,15390,15232,96256,73569,73569,14.347,0.0,0.0,0.02,0.0,1
29184,29056,19424,96256,73569,83297,21.110,0.02,0.02,0.02,0.04,1
35840,29152,18592,96256,83297,94041,16.534,0.02,0.0,0.02,0.02,1
35840,18592,14237,123392,94041,95943,57.022,0.09,0.0,0.06,0.09,0
38400,23965,19360,123392,95943,100695,17.942,0.03,0.0,0.02,0.03,1
39936,29600,29568,123392,100695,100695,14.383,0.0,0.0,0.02,0.0,1
42496,39808,30208,123392,100695,110423,20.555,0.05,0.0,0.02,0.05,1
42496,30208,17332,151552,110423,122956,61.694,0.12,0.0,0.06,0.12,0
46592,25524,19456,151552,122956,129252,18.415,0.02,0.03,0.02,0.05,1
47616,27648,21664,151552,129252,135260,13.448,0.02,0.0,0.01,0.02,1
47616,31392,26144,151552,135260,140588,14.379,0.0,0.0,0.01,0.0,1
47616,26144,14777,180736,140588,151531,66.764,0.17,0.02,0.07,0.19,0
46080,24505,15072,180736,151531,161203,18.828,0.16,0.0,0.02,0.16,1
48640,26336,21024,180736,161203,166563,18.797,0.02,0.0,0.02,0.02,1
50176,32288,22592,180736,166563,176435,16.958,0.02,0.0,0.02,0.02,1
