DefNew (allocated space)(KB),DefNew (Before GC)(KB),DefNew (After GC)(KB),Tenured (allocated space)(KB),Tenured (Before GC)(KB),Tenured (After GC)(KB),GC Pause Time(ms),User(s),Sys(s),Real Time(s),CPU Time(s),"GC/FULL-GC(1->GC,0->FULL-GC)"
1152,1023,127,768,0,439,1.572,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,1.221,0.00,0.00,0.00,0.0,0
1152,1151,40,1600,439,959,2.064,0.00,0.00,0.00,0.0,0
1152,1024,128,1600,959,1375,1.610,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,1.346,0.00,0.00,0.00,0.0,0
1536,1152,35,3308,1375,1983,3.498,0.00,0.00,0.00,0.0,0
1536,1407,127,3308,1983,2617,1.818,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,1.652,0.00,0.00,0.00,0.0,0
2688,1535,0,5768,2617,3460,4.001,0.00,0.00,0.00,0.0,0
2688,2431,256,5768,3460,4512,2.787,0.00,0.00,0.00,0.0,1
2688,2688,256,5768,4512,5755,3.529,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,3.855,0.00,0.00,0.00,0.0,0
5376,2688,0,11888,5755,7132,9.294,0.02,0.00,0.01,0.02,0
5376,4800,575,11888,7132,9027,5.340,0.00,0.00,0.01,0.0,1
5376,5375,576,11888,9027,11746,5.898,0.00,0.00,0.01,0.0,1
0,0,0,0,0,0,5.599,0.00,0.00,0.01,0.0,0
10880,5376,386,23976,11746,14384,13.183,0.02,0.00,0.01,0.02,0
10880,9728,1151,23976,14384,18415,12.400,0.00,0.00,0.01,0.0,1
10880,10879,1151,23976,18415,23936,12.249,0.00,0.00,0.01,0.0,1
0,0,0,0,0,0,10.801,0.00,0.00,0.01,0.0,0
21888,10879,1080,48396,23936,29036,25.078,0.03,0.00,0.02,0.03,0
21888,19520,2367,48396,29036,39353,27.858,0.02,0.00,0.03,0.02,1
0,0,0,0,0,0,37.286,0.03,0.00,0.04,0.03,0
44288,21887,2253,98260,39353,58956,47.383,0.05,0.00,0.05,0.05,0
44288,39424,4863,98260,58956,93487,61.791,0.02,0.03,0.06,0.05,1
0,0,0,0,0,0,69.120,0.05,0.02,0.07,0.07,0
99712,44287,1014,221480,93487,132887,129.924,0.12,0.00,0.13,0.12,0
99712,88640,11071,221480,132887,210424,203.553,0.16,0.02,0.20,0.18,1
0,0,0,0,0,0,179.663,0.12,0.03,0.18,0.15,0
224448,99711,10926,498636,210424,299179,319.375,0.25,0.00,0.32,0.25,0
224448,199552,24895,498636,299179,473807,412.116,0.30,0.03,0.41,0.32999999999999996,1
0,0,0,0,0,0,401.995,0.36,0.03,0.40,0.39,0
505152,224447,24801,1122376,473807,673423,539.788,0.53,0.02,0.54,0.55,0
505152,449088,56063,1122376,673423,1066421,776.419,0.70,0.08,0.78,0.7799999999999999,1
0,0,0,0,0,0,737.793,0.66,0.08,0.74,0.74,0
1094784,505151,55886,2432660,1066421,1459595,1209.682,1.17,0.00,1.21,1.17,0
1094784,973184,121600,2432660,1459595,2311150,1778.453,1.48,0.22,1.78,1.7,1
0,0,0,0,0,0,1746.098,1.36,0.38,1.75,1.7400000000000002,0
2463296,1094784,27387,5473856,2311150,3284311,3333.935,3.33,0.00,3.33,3.33,0
2463296,2189632,273664,5473856,3284311,5200251,3778.427,3.31,0.42,3.78,3.73,1
0,0,0,0,0,0,0.132,0.00,0.00,0.00,0.0,0
2463296,2463296,2189664,5870976,5200251,5473855,6618.012,6.52,0.08,6.62,6.6,0
2463296,2463295,2463295,5870976,5870975,5870975,6387.701,6.38,0.00,6.39,6.38,0
2463296,2463295,2435990,5870976,5870975,5767205,8124.535,8.08,0.00,8.12,8.08,0
2463296,2463295,2463295,5870976,5870975,5870975,6403.312,6.38,0.00,6.40,6.38,0
2463296,2463295,2463295,5870976,5870975,5870975,6388.982,6.38,0.02,6.39,6.3999999999999995,0
2463296,2463295,2463295,5870976,5870975,5870975,6426.609,6.42,0.00,6.43,6.42,0
2463296,2463295,2463295,5870976,5870975,5870974,7667.502,7.66,0.00,7.67,7.66,0
2463296,2463295,2463295,5870976,5870975,5870972,7669.195,7.64,0.00,7.67,7.64,0
