Throughput(%),Latency(Max GC pause time)(s),Application runtime(s),FULL GC,GC,XMX
77.44146341463414,0.003386,0.246,20,4,2
26.610095098756403,0.093515,1.367,24,9,100
18.354125412541265,0.19847900000000002,2.424,26,10,200
13.319369134515114,0.307183,3.836,28,11,300
15.916737430167586,0.391752,4.475,26,11,400
13.40343586387435,0.504935,6.112,29,11,500
11.407082224756095,0.585446,7.893,30,11,600
10.076325498049954,0.687899,9.487,31,12,700
13.088728046833438,0.819572,9.395,29,12,800
11.900296764311705,0.887385,10.446,29,12,900
11.637523120901307,1.1413879999999998,11.894,29,12,1000
11.848912391239125,1.0686069999999999,13.332,31,12,1100
11.87918461096757,1.387869,13.932,30,12,1200
10.680653985622499,1.288706,15.719,31,12,1300
11.937919484702078,1.401806,15.525,30,12,1400
20.807897252090797,1.4506130000000002,8.370,24,12,1500
12.022942700835003,1.547318,17.365,30,13,1600
12.291326479185571,1.6469090000000002,19.842,31,13,1700
13.444733684594922,1.810354,19.169,30,13,1800
14.088602508820074,1.916869,20.408,30,13,1900
10.327393037688537,2.064749,24.331,32,13,2000
11.613610417409916,2.1438099999999998,22.424,30,13,2100
11.877113619394763,2.138123,22.769,30,13,2200
10.803121955022007,2.36152,25.657,32,13,2300
10.315751481414964,2.324674,27.845,33,13,2400
10.893059078710337,2.428576,27.201,32,13,2500
11.20683495561022,2.5290100000000004,28.047,32,13,2600
10.364244532803184,2.620657,30.180,32,13,2700
10.43375986145854,2.781294,31.182,32,13,2800
19.03694338515696,2.775183,17.045,26,13,2900
18.00851577314255,2.8472820000000003,17.403,26,13,3000
17.872721537137934,2.798286,17.435,26,13,3100
11.145382809627506,3.314579,35.357,32,13,3200
11.241598531620227,3.262653,35.958,32,13,3300
10.05988037217547,3.656357,40.626,33,14,3400
10.802118391926314,3.70217,42.013,33,14,3500
10.7277773488767,3.507222,38.859,32,14,3600
10.615990359435472,3.5676460000000003,43.151,33,14,3700
11.685424717462638,3.863736,41.145,32,14,3800
11.3344508120597,3.786935,44.147,33,14,3900
12.764291090412996,3.857476,42.516,32,14,4000
11.786142620374974,4.00661,46.459,33,14,4100
13.438457897583845,4.081311,44.368,32,14,4200
13.335990693386577,4.231803,45.559,32,14,4300
10.23315873145279,4.210465,49.064,33,14,4400
10.835293993810666,4.421105,47.501,32,14,4500
10.767070268032711,4.543024999999999,48.315,32,14,4600
10.814836188393471,4.688144,49.386,32,14,4700
10.64304747681183,4.813933,50.888,32,14,4800
10.076721485605447,4.7958,54.604,34,14,4900
10.400662919459961,4.843748,53.551,34,14,5000
10.365316271894002,4.933912,55.095,34,14,5100
10.478860615678727,5.014533,55.451,34,14,5200
10.64377357825336,5.351723,56.726,34,14,5300
10.623190425587481,5.230345000000001,57.403,34,14,5400
10.471336800771553,5.502632999999999,58.064,34,14,5500
10.573032868948431,5.457276,58.931,34,14,5600
10.639828618382438,5.485825,59.633,34,14,5700
10.74259008934753,5.692069999999999,60.662,34,14,5800
18.915219196772867,5.813115,33.714,28,14,5900
18.92280243422671,5.693876,32.536,28,14,6000
18.155208395444504,6.1033800000000005,33.542,28,14,6100
17.996119291598504,5.899268,34.839,28,14,6200
9.479170038145881,6.0711580000000005,77.859,36,14,6300
10.88842052096112,6.147031,69.295,34,14,6400
11.141764364480565,6.1927579999999995,68.920,34,14,6500
10.93646764693419,6.385745,70.797,34,14,6600
11.773800227876947,6.497434,65.825,33,15,6700
