DefNew (allocated space)(KB),DefNew (Before GC)(KB),DefNew (After GC)(KB),Tenured (allocated space)(KB),Tenured (Before GC)(KB),Tenured (After GC)(KB),GC Pause Time(ms),User(s),Sys(s),Real Time(s),CPU Time(s),"GC/FULL-GC(1->GC,0->FULL-GC)"
1152,1023,127,768,0,440,1.465,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,1.382,0.00,0.00,0.00,0.0,0
1152,1151,40,1600,440,959,2.061,0.00,0.00,0.00,0.0,0
1152,1024,127,1600,959,1375,1.242,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,1.485,0.00,0.00,0.00,0.0,0
1536,1151,34,3308,1375,1984,3.247,0.00,0.00,0.00,0.0,0
1536,1408,127,3308,1984,2617,1.871,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,1.508,0.00,0.00,0.00,0.0,0
2688,1535,0,5768,2617,3459,3.618,0.00,0.00,0.00,0.0,0
2688,2432,255,5768,3459,4512,2.557,0.00,0.00,0.00,0.0,1
2688,2687,256,5768,4512,5754,3.219,0.00,0.00,0.00,0.0,1
0,0,0,0,0,0,2.841,0.00,0.00,0.00,0.0,0
5376,2688,0,11888,5754,7132,8.430,0.00,0.00,0.01,0.0,0
5376,4800,576,11888,7132,9027,5.220,0.02,0.00,0.01,0.02,1
5376,5376,576,11888,9027,11746,6.349,0.00,0.00,0.01,0.0,1
0,0,0,0,0,0,5.979,0.00,0.00,0.01,0.0,0
10880,5376,386,23976,11746,14383,12.885,0.02,0.00,0.01,0.02,0
10880,9728,1152,23976,14383,18415,13.171,0.00,0.00,0.01,0.0,1
10880,10880,1151,23976,18415,23936,12.842,0.00,0.00,0.01,0.0,1
0,0,0,0,0,0,11.047,0.02,0.00,0.01,0.02,0
21888,10879,1080,48396,23936,29035,24.235,0.02,0.00,0.02,0.02,0
21888,19520,2367,48396,29035,41014,30.950,0.02,0.00,0.03,0.02,1
0,0,0,0,0,0,35.164,0.03,0.00,0.04,0.03,0
45568,21887,2186,101140,41014,60683,46.643,0.06,0.00,0.05,0.06,0
45568,40512,5055,101140,60683,96114,62.734,0.03,0.02,0.06,0.05,1
0,0,0,0,0,0,71.285,0.06,0.02,0.07,0.08,0
102592,45567,1084,227880,96114,136727,132.297,0.12,0.00,0.13,0.12,0
102592,91200,11392,227880,136727,216508,152.162,0.16,0.00,0.15,0.16,1
0,0,0,0,0,0,173.247,0.09,0.06,0.17,0.15,0
230848,102592,11379,512820,216508,307691,249.893,0.23,0.00,0.25,0.23,0
230848,205248,25599,512820,307691,487314,341.405,0.33,0.00,0.34,0.33,1
0,0,0,0,0,0,389.837,0.34,0.03,0.39,0.37,0
518976,230847,25508,1153260,487314,691955,555.450,0.56,0.00,0.56,0.56,0
518976,461312,57663,1153260,691955,1095576,811.156,0.67,0.12,0.81,0.79,1
0,0,0,0,0,0,736.913,0.58,0.14,0.74,0.72,0
1129472,518975,57610,2509736,1095576,1505839,1177.862,1.16,0.00,1.18,1.16,0
1129472,1004032,125439,2509736,1505839,2384401,2273.315,1.62,0.25,2.27,1.87,1
0,0,0,0,0,0,2235.193,1.55,0.31,2.23,1.86,0
2541376,1129471,31177,5647436,2384401,3388459,4270.813,3.97,0.00,4.27,3.97,0
2541376,2259008,282367,5647436,3388459,5365069,4595.932,3.77,0.80,4.60,4.57,1
0,0,0,0,0,0,5469.668,3.44,2.00,5.47,5.4399999999999995,0
3901440,2541375,282271,8669888,5365069,7624144,6360.222,6.20,0.00,6.36,6.2,0
0,0,0,0,0,0,0.121,0.00,0.00,0.00,0.0,0
3901440,3467968,2422196,8669888,7624144,8669887,10179.839,9.55,0.53,10.18,10.08,0
3901440,3090453,3049131,8669888,8669887,8669887,9739.920,9.67,0.00,9.74,9.67,0
3901440,3049131,2918054,8669888,8669887,8669887,11912.406,11.67,0.00,11.91,11.67,0
3901440,3901439,3901439,8669888,8669887,8669887,11402.704,9.19,0.86,11.40,10.049999999999999,0
3901440,3901439,3901439,8669888,8669887,8669887,9350.554,9.31,0.02,9.35,9.33,0
3901440,3901439,3639296,8669888,8669887,8669887,11380.577,11.31,0.00,11.38,11.31,0
3901440,3901439,3901439,8669888,8669887,8669887,9536.541,9.44,0.00,9.54,9.44,0
3901440,3901439,3901439,8669888,8669887,8669887,9545.374,9.52,0.00,9.55,9.52,0
3901440,3901439,3901439,8669888,8669887,8669887,9546.355,9.44,0.00,9.55,9.44,0
3901440,3901439,3901438,8669888,8669887,8669887,12064.216,12.03,0.00,12.07,12.03,0
3901440,3901439,3901436,8669888,8669887,8669887,12442.918,12.25,0.00,12.44,12.25,0
