DefNew (allocated space)(KB),DefNew (Before GC)(KB),DefNew (After GC)(KB),Tenured (allocated space)(KB),Tenured (Before GC)(KB),Tenured (After GC)(KB),GC Pause Time(ms),User(s),Sys(s),Real Time(s),CPU Time(s),"GC/FULL-GC(1->GC,0->FULL-GC)"
0,0,0,0,0,0,9.109,0.0,0.0,0.01,0.0,0
2688,2432,255,5768,3459,4512,3.912,0.0,0.0,0.0,0.0,1
10880,5376,386,23976,11746,14383,17.289,0.02,0.0,0.02,0.02,0
44288,39424,4863,98260,58955,93487,62.547,0.03,0.02,0.06,0.05,1
0,0,0,0,0,0,373.747,0.23,0.12,0.37,0.35,0
5437440,5437439,5437439,12083200,12083200,12083200,185804.297,11.22,47.84,185.8,59.06,0
5437440,5437439,5437435,12083200,12083199,12083199,230389.805,13.3,68.53,230.39,81.83,0
0,0,0,0,0,0,72.296,0.05,0.02,0.07,0.07,0
0,0,0,0,0,0,3.729,0.0,0.0,0.0,0.0,0
504832,224319,24825,1121688,473551,673011,531.166,0.53,0.0,0.53,0.53,0
5437440,5437439,5437439,12083200,12083200,12083200,174390.634,11.09,63.31,174.39,74.4,0
0,0,0,0,0,0,1691.459,1.34,0.33,1.69,1.6700000000000002,0
224320,99711,11058,498416,210429,299047,235.728,0.23,0.02,0.23,0.25,0
0,0,0,0,0,0,3853.751,3.05,0.8,3.85,3.85,0
0,0,0,0,0,0,1.395,0.0,0.0,0.0,0.0,0
21888,19520,2367,48396,29035,39371,29.262,0.02,0.0,0.03,0.02,1
1152,1151,40,1600,440,959,2.602,0.0,0.0,0.0,0.0,0
0,0,0,0,0,0,0.141,0.0,0.0,0.0,0.0,0
2470080,2195648,274432,5488908,3293343,5214527,3880.009,3.27,0.59,3.88,3.86,1
1097728,504832,55907,2439196,1065690,1463515,1131.257,1.12,0.0,1.13,1.12,0
44288,21887,2272,98260,39371,58955,46.671,0.05,0.0,0.05,0.05,0
5437440,5437439,5437437,12083200,12083199,12083199,143056.561,11.83,53.41,143.06,65.24,0
2688,2687,256,5768,4512,5754,5.084,0.0,0.0,0.0,0.0,1
0,0,0,0,0,0,36.072,0.03,0.0,0.04,0.03,0
10880,10879,1151,23976,18415,23936,16.283,0.0,0.0,0.02,0.0,1
5437440,5437439,5437438,12083200,12083199,12083199,173986.231,11.09,51.48,173.99,62.56999999999999,0
21888,10879,1080,48396,23936,29035,28.652,0.03,0.0,0.03,0.03,0
0,0,0,0,0,0,2.166,0.0,0.0,0.0,0.0,0
5437440,4381159,604159,12083200,7410319,11114859,11361.033,7.53,3.47,11.36,11.0,1
5376,5376,576,11888,9027,11746,8.888,0.02,0.0,0.01,0.02,1
0,0,0,0,0,0,164.941,0.14,0.02,0.16,0.16,0
5437440,5437439,5437439,12083200,12083200,12083200,164849.269,10.97,55.33,164.85,66.3,0
2470080,1097728,27520,5488908,2317372,3293343,3315.828,3.31,0.0,3.32,3.31,0
1152,1023,127,768,0,440,1.935,0.0,0.0,0.0,0.0,1
1536,1152,34,3308,1374,1984,3.683,0.0,0.0,0.0,0.0,0
504832,448768,56064,1121688,673011,1065690,771.479,0.64,0.12,0.77,0.76,1
5376,4800,576,11888,7132,9027,7.039,0.0,0.0,0.01,0.0,1
0,0,0,0,0,0,14.88,0.0,0.0,0.01,0.0,0
5437440,5437439,5437439,12083200,12083200,12083200,169740.031,11.25,57.84,169.74,69.09,0
1097728,975808,121920,2439196,1463515,2317372,1741.275,1.53,0.2,1.74,1.73,1
99712,44287,1016,221480,93487,132887,126.69,0.12,0.0,0.13,0.12,0
5437440,5437439,4452433,12083200,11114859,12083199,134244.629,11.56,47.11,134.25,58.67,0
5376,2688,0,11888,5754,7132,10.212,0.02,0.0,0.01,0.02,0
5437440,5437439,5437438,12083200,12083200,12083199,240657.775,11.88,70.92,240.66,82.8,0
1152,1024,128,1600,959,1374,1.786,0.0,0.0,0.0,0.0,1
0,0,0,0,0,0,721.46,0.56,0.16,0.72,0.7200000000000001,0
224320,199424,24895,498416,299047,473551,333.292,0.28,0.05,0.33,0.33,1
2688,1535,0,5768,2617,3459,4.74,0.0,0.0,0.0,0.0,0
10880,9728,1151,23976,14383,18415,14.005,0.0,0.0,0.01,0.0,1
1536,1408,127,3308,1984,2617,2.499,0.0,0.0,0.0,0.0,1
0,0,0,0,0,0,1.784,0.0,0.0,0.0,0.0,0
5437440,2470080,274261,12083200,5214527,7410319,6335.497,6.12,0.0,6.34,6.12,0
99712,88640,11071,221480,132887,210429,145.735,0.11,0.03,0.15,0.14,1
5437440,5437439,5437439,12083200,12083199,12083199,160857.431,11.33,56.84,160.86,68.17,0
5437440,5437440,5044223,12083200,12083199,12083199,194531.959,14.41,74.86,194.53,89.27,0
5437440,5437439,5437439,12083200,12083200,12083200,161179.641,11.67,54.42,161.19,66.09,0
