XMX,Throughput(%),Latency(Max GC pause time)(s),Application runtime,FULL GC,GC,RandomForest,KNeighbors,DecisionTree,MLP,Ensemble
2,77.44146341463414,0.003386,0.246,20,4,90.0,93.33333333333333,93.33333333333333,100.0,93.33333333333333
100,26.610095098756403,0.093515,1.367,24,9,78.57142857142857,75.0,95.0,80.0,95.0
200,18.354125412541265,0.198479,2.424,26,10,73.33333333333333,72.72727272727273,90.9090909090909,77.27272727272727,90.9090909090909
300,13.319369134515114,0.307183,3.836,28,11,87.5,75.0,87.5,79.16666666666666,91.66666666666666
400,15.916737430167586,0.391752,4.475,26,11,75.0,72.72727272727273,86.36363636363636,63.63636363636363,86.36363636363636
500,13.40343586387435,0.504935,6.112,29,11,82.35294117647058,79.16666666666666,91.66666666666666,75.0,91.66666666666666
600,11.407082224756095,0.585446,7.893,30,11,82.35294117647058,76.0,88.0,76.0,88.0
700,10.076325498049954,0.687899,9.487,31,12,72.22222222222221,69.23076923076923,88.46153846153845,69.23076923076923,76.92307692307693
800,13.088728046833438,0.819572,9.395,29,12,76.47058823529412,72.0,88.0,76.0,88.0
900,11.900296764311705,0.887385,10.446,29,12,82.35294117647058,72.0,88.0,76.0,88.0
1000,11.637523120901308,1.1413879999999998,11.894,29,12,76.47058823529412,72.0,84.0,76.0,84.0
1100,11.848912391239123,1.068607,13.332,31,12,66.66666666666666,69.23076923076923,88.46153846153845,69.23076923076923,88.46153846153845
1200,11.87918461096757,1.387869,13.932,30,12,72.22222222222221,68.0,92.0,68.0,88.0
1300,10.6806539856225,1.288706,15.719,31,12,72.22222222222221,69.23076923076923,92.3076923076923,69.23076923076923,88.46153846153845
1400,11.937919484702078,1.401806,15.525,30,12,83.33333333333334,68.0,92.0,68.0,88.0
1500,20.8078972520908,1.4506130000000002,8.37,24,12,73.33333333333333,68.18181818181817,90.9090909090909,63.63636363636363,86.36363636363636
1600,12.022942700835005,1.547318,17.365,30,13,66.66666666666666,69.23076923076923,92.3076923076923,69.23076923076923,88.46153846153845
1700,12.291326479185573,1.6469090000000002,19.842,31,13,72.22222222222221,70.37037037037037,88.88888888888889,70.37037037037037,77.77777777777779
1800,13.444733684594922,1.810354,19.169,30,13,72.22222222222221,69.23076923076923,88.46153846153845,69.23076923076923,84.61538461538461
1900,14.088602508820074,1.916869,20.408,30,13,77.77777777777779,69.23076923076923,65.38461538461539,69.23076923076923,69.23076923076923
2000,10.327393037688536,2.064749,24.331,32,13,94.73684210526315,70.37037037037037,88.88888888888889,70.37037037037037,74.07407407407408
2100,11.613610417409916,2.14381,22.424,30,13,77.77777777777779,69.23076923076923,92.3076923076923,69.23076923076923,88.46153846153845
2200,11.877113619394764,2.138123,22.769,30,13,66.66666666666666,69.23076923076923,61.53846153846154,69.23076923076923,69.23076923076923
2300,10.803121955022007,2.36152,25.657,32,13,89.47368421052632,70.37037037037037,85.18518518518519,70.37037037037037,74.07407407407408
2400,10.315751481414964,2.324674,27.845,33,13,78.94736842105263,67.85714285714286,89.28571428571429,67.85714285714286,85.71428571428571
2500,10.893059078710335,2.428576,27.201,32,13,73.68421052631578,70.37037037037037,85.18518518518519,70.37037037037037,74.07407407407408
2600,11.20683495561022,2.5290100000000004,28.047,32,13,78.94736842105263,70.37037037037037,85.18518518518519,70.37037037037037,74.07407407407408
2700,10.364244532803184,2.620657,30.18,32,13,73.68421052631578,70.37037037037037,88.88888888888889,70.37037037037037,74.07407407407408
2800,10.43375986145854,2.781294,31.182,32,13,89.47368421052632,70.37037037037037,85.18518518518519,70.37037037037037,74.07407407407408
2900,19.03694338515696,2.775183,17.045,26,13,81.25,75.0,91.66666666666666,70.83333333333334,91.66666666666666
3000,18.00851577314255,2.8472820000000003,17.403,26,13,87.5,75.0,91.66666666666666,70.83333333333334,91.66666666666666
3100,17.872721537137934,2.798286,17.435,26,13,87.5,75.0,91.66666666666666,70.83333333333334,91.66666666666666
3200,11.145382809627506,3.314579,35.357,32,13,78.94736842105263,70.37037037037037,85.18518518518519,70.37037037037037,74.07407407407408
3300,11.241598531620228,3.262653,35.958,32,13,73.68421052631578,70.37037037037037,85.18518518518519,70.37037037037037,74.07407407407408
